url,FileSize,NumOfOutLink,ContentType
https://www.c-span.org/presidentsurvey2017/,41 KB,163,text/html
https://www.c-span.org/person/?betsydevos,38 KB,91,text/html
https://www.c-span.org/networks/?channel=c-span,31 KB,67,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fnetworks%2F,35 KB,56,text/html
https://www.c-span.org/networks/?channel=c-span-3,31 KB,67,text/html
https://www.c-span.org/search/?edate=11%2F08%2F2016&formatid%5B%5D=18&sdate=07%2F01%2F2016&searchtype=Videos&sort=Most%2BRecent%2BEvent&tagid%5B%5D=266&text=0,67 KB,83,text/html
https://www.c-span.org/about/TVeverywhere/,39 KB,55,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fedate%3D02%252F20%252F2018%26featured%255B%255D%3D1%26sdate%3D02%252F01%252F2017%26searchtype%3DClips%26sort%3DNewest,35 KB,57,text/html
https://www.c-span.org/networks/?channel=c-span-2,31 KB,67,text/html
https://www.c-span.org/search/?personid%5B%5D=19027&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,77 KB,97,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2Fhistory%2F,35 KB,56,text/html
https://www.c-span.org/search/?categoryid%5B%5D=30&edate=02%2F20%2F2018&formatid%5B%5D=39&personid_ex%5B%5D=20967&sdate=01%2F20%2F2017&searchtype=Videos&sort=Most%2BRecent%2BEvent,77 KB,97,text/html
https://www.c-span.org/supremeCourt/calendar/,105 KB,58,text/html
https://www.c-span.org/search/?personid%5B%5D=47822&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,76 KB,97,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2FcontactUs%2F,35 KB,56,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2FcopyrightsAndLicensing%2F,35 KB,56,text/html
https://www.c-span.org/search/?personid%5B%5D=20244&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,75 KB,95,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsort%3DNewest%26tagid%255B%255D%3D1069,35 KB,57,text/html
https://www.c-span.org/search/?edate=02%2F20%2F2018&personid%5B%5D=20967&sdate=01%2F20%2F2017&searchtype=Videos&sort=Most%2BRecent%2BAiring,76 KB,97,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2Fmilestones%2F,35 KB,56,text/html
https://www.c-span.org/person/?davidshulkin,37 KB,86,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fpodcasts%2F,35 KB,56,text/html
https://www.c-span.org/search/?personid%5B%5D=20967&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,77 KB,96,text/html
https://www.c-span.org/person/?rickperry,39 KB,92,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7525,12 KB,67,text/html
https://www.c-span.org/person/?randpaul,42 KB,94,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7487,12 KB,67,text/html
https://www.c-span.org/person/?darrylperry,34 KB,76,text/html
